hop,n_queries,precision,recall,f1_score,avg_similarity,n_ground_truth,n_retrieved,n_correct
1,28,0.225,0.9642857142857143,0.36486486486486486,0.9241100947062174,28,120,27
2,24,0.125,0.9166666666666666,0.22000000000000003,0.9245757027105852,24,176,22
3,16,0.06875,0.6875,0.12500000000000003,0.9252361059188843,16,160,11
